logFC logCPM PValue FDR
VIT_09s0018g01670 -3.84109189718553 4.24190649460956 1.02095413791211e-06 0.000115649795393587
VIT_11s0016g01300 -3.82286374984796 3.53400566298015 1.0302858070648e-06 0.000116153738286529
VIT_13s0019g02330 -1.74728798841744 7.89472500096813 1.03742139013587e-06 0.000116406509568642
VIT_06s0009g01640 -2.72487664316863 4.22593481009545 1.04824391329147e-06 0.000116649891705975
VIT_00s0227g00200 -1.68262333797633 3.93777678552005 1.0721694368942e-06 0.000116649891705975
VIT_09s0018g01950 -2.19167679425431 4.24468347614482 1.07391652444966e-06 0.000116649891705975
VIT_10s0003g02680 -2.32600852457548 4.89946265511887 1.1253144416976e-06 0.000120888247359769
VIT_05s0020g01110 -4.19138452873837 4.25829672697128 1.14095730632553e-06 0.000121708934542025
VIT_13s0106g00550 -7.64065616791866 2.83876262548507 1.173836709199e-06 0.000124103233948559
VIT_09s0002g05980 -4.1829180724678 2.60527573688015 1.19652678137903e-06 0.000125942385289577
VIT_00s0194g00080 -2.43703086973248 4.30193506624134 1.21775718740341e-06 0.000127612369929306
VIT_10s0003g04560 -2.482621498924 7.3033395262781 1.22590855689546e-06 0.00012790312610276
VIT_11s0016g05840 -5.05476797123186 9.19516499202288 1.30740769074293e-06 0.000135220061510403
VIT_02s0154g00320 -7.09494985020074 8.09723785958242 1.37957270463482e-06 0.000141988041565367
VIT_18s0001g04680 -1.96083900863478 6.4076745409934 1.38804594177495e-06 0.000141988041565367
VIT_08s0007g07000 -9.42088752099672 2.01751283655249 1.39672110838641e-06 0.000141988041565367
VIT_02s0154g00220 -6.87939540992167 2.46879336074712 1.44080574810362e-06 0.000145228335321563
VIT_18s0001g12190 -3.73532130701679 0.956613691482072 1.47564661578348e-06 0.000148112580996867
VIT_03s0063g00030 -3.20249307313748 3.52656068358544 1.54079034005312e-06 0.00015400134709741
VIT_01s0011g03180 -4.07540474745674 2.81157809233396 1.58739497583209e-06 0.000156684446826115
VIT_01s0011g04080 -6.69314781548467 5.43026328701566 1.60287609743216e-06 0.000157558746304613
VIT_11s0016g01850 -2.93754437409257 4.82903767602107 1.62765194464912e-06 0.00015850499081896
VIT_14s0083g01150 -4.84211423114416 3.92038577002103 1.63249212841119e-06 0.00015850499081896
VIT_13s0106g00230 -5.7300371390503 4.8848004311729 1.68780031157879e-06 0.000162548153084357
VIT_08s0007g00980 -2.68067125430976 3.39481556371631 1.74990727278266e-06 0.000167849976632879
VIT_15s0021g02300 -6.68871081910533 6.10222244473191 1.76659251644465e-06 0.000167870770340516
VIT_18s0122g00980 -6.25582304292797 5.62959762710002 1.77457897002845e-06 0.000167870770340516
VIT_05s0020g03640 -4.77739689889876 3.41399428373588 1.77880600360521e-06 0.000167870770340516
VIT_17s0000g06880 -1.63459544484517 6.69353630146114 1.78433655396482e-06 0.000167870770340516
VIT_18s0122g00750 -3.32351121254805 1.02329954572568 1.78540881520727e-06 0.000167870770340516
VIT_04s0008g03760 -2.44263694555695 3.78170987968342 1.79590641658047e-06 0.000168192999360694
VIT_19s0014g03210 -3.58327265839508 2.45589075645093 1.89866220955686e-06 0.000175740765139839
VIT_01s0026g02420 -1.73796913898743 3.39837320974156 1.95770270879064e-06 0.000179806301300045
VIT_15s0021g02510 -3.71637029910607 3.2052523706459 1.97547250334798e-06 0.000180740538114007
VIT_07s0129g00660 -5.79200132680618 3.87255766475447 1.99790698275116e-06 0.000181675726528476
VIT_16s0022g01210 -6.37676003496281 1.9011686433202 2.11695242917386e-06 0.000189352982035309
VIT_02s0012g00460 -1.89845526712305 4.73683646490845 2.14021875314821e-06 0.00019059075230723
VIT_00s0238g00020 -4.39887689943801 3.70175335391975 2.17142889807189e-06 0.00019059075230723
VIT_02s0025g03590 -2.16342047470848 4.37449806630103 2.17927882241325e-06 0.00019059075230723
VIT_04s0008g01720 -4.45942430053288 5.03084247715988 2.26059452141967e-06 0.000196978104305975
VIT_04s0008g05120 -1.90132582853349 5.30859203419735 2.31338474297778e-06 0.000200111986421656
